"anonyme_id","response","swahili","english","notes"
"11115","a","popo_mayai","bat_reproduction",NA
"11115","b","pelele_panda","hyraxes_climb_trees",NA
"11115","b","mikandaa","mangroves",NA
"11115","b","kambare","catfishes",NA
"11115","b","koho","vultures",NA
"11115","a","kutambaa","vine",NA
"11115","a","kijimbi","kingfishers",NA
"11115","a","ngisi","squid",NA
"11115","b","papa","sharks_offspring",NA
"11115","b","ukukwi","green_spotted_snake",NA
"11115","b","mwani","seaweed",NA
"11115","b","kasa_kutaga","turtles_return",NA
"11115","a","koa","snails",NA
"11115","a","ngawa","civets",NA
"11115","b","komba_lala","bushbabies_sleep",NA
"11115","a","mkuu","mkuu_wa_usiku_tree",NA
"11115","a","koogwe","vervet_monkey",NA
"11115","a","vijinu","cone_shells",NA
"11115","a","komba_ndizi","bushbabies_bananas",NA
"11115",NA,"popo_masikio","bats_ears","BOTH"
"11115","a","popo_uchafu","bats_excrements",NA
"11115","a","chewa","groupers",NA
"11115","b","ndizi","banana_cooking",NA
"11115","b","taa","rays",NA
"11115","a","nyangumi","whales",NA
"11115","b","mgulele","mgulele_tree",NA
"11115","nk","kubanja","crack_open",NA
"11115","b","pelele_vidole","hyraxes_fingers",NA
"11115","b","ulaya","ulaya_tree",NA
"11115","nk","chepu","fly_larvae",NA
"11115","a","kamba","shrimps",NA
"11115","b","dau","boat_building_wood",NA
"11115","b","mjusi","geckos",NA
"11115","b","nduaro","tunas",NA
"11115","b","viazi","sweet_potatoes",NA
"11115","a","pweza","octopus",NA
"11115","nk","kichachuli","young_monkey",NA
"11115","b","kasa","turtles_travel",NA
"11115","a","papa","sharks_dangerous",NA
"11115",NA,"chowe","shells","NONE"
"11115","b","mbiliwili","swifts",NA
"11115","b","salile","ducks",NA
"11115","a","matunda","fruit",NA
"11115","a","pomboo","dolphins",NA
"11115","a","minazi","coconut",NA
"11115","b","chamvi","caterpillar",NA
"11115","a","chale","lionfishes",NA
"11115","b","bocho","frogfishes",NA
"11115","nk","mjafari","mjafari_plant",NA
"11115","nk","panga","pin_shells",NA
"112462","b","popo_mayai","bat_reproduction",NA
"112462","b","pelele_panda","hyraxes_climb_trees",NA
"112462","b","mikandaa","mangroves",NA
"112462","b","kambare","catfishes",NA
"112462","a","koho","vultures",NA
"112462","b","kutambaa","vine",NA
"112462","a","kijimbi","kingfishers",NA
"112462","a","ngisi","squid",NA
"112462","b","papa","sharks_offspring",NA
"112462","b","ukukwi","green_spotted_snake",NA
"112462","a","mwani","seaweed",NA
"112462","a","kasa_kutaga","turtles_return",NA
"112462","b","koa","snails",NA
"112462","a","ngawa","civets",NA
"112462","b","komba_lala","bushbabies_sleep",NA
"112462","b","mkuu","mkuu_wa_usiku_tree",NA
"112462","b","koogwe","vervet_monkey",NA
"112462","a","vijinu","cone_shells",NA
"112462","b","komba_ndizi","bushbabies_bananas",NA
"112462","b","popo_masikio","bats_ears",NA
"112462","a","popo_uchafu","bats_excrements",NA
"112462","b","chewa","groupers",NA
"112462","a","ndizi","banana_cooking",NA
"112462","b","taa","rays",NA
"112462","b","nyangumi","whales",NA
"112462","b","mgulele","mgulele_tree",NA
"112462","b","kubanja","crack_open",NA
"112462","a","pelele_vidole","hyraxes_fingers",NA
"112462","b","ulaya","ulaya_tree",NA
"112462","b","chepu","fly_larvae",NA
"112462","a","kamba","shrimps",NA
"112462","a","dau","boat_building_wood",NA
"112462","b","mjusi","geckos",NA
"112462","b","nduaro","tunas",NA
"112462","a","viazi","sweet_potatoes",NA
"112462","b","pweza","octopus",NA
"112462","a","kichachuli","young_monkey",NA
"112462","a","kasa","turtles_travel",NA
"112462","b","papa","sharks_dangerous",NA
"112462","a","chowe","shells",NA
"112462","b","mbiliwili","swifts",NA
"112462","b","salile","ducks",NA
"112462","b","matunda","fruit",NA
"112462","a","pomboo","dolphins",NA
"112462","b","minazi","coconut",NA
"112462","b","chamvi","caterpillar",NA
"112462","a","chale","lionfishes",NA
"112462","b","bocho","frogfishes",NA
"112462","a","mjafari","mjafari_plant",NA
"112462","b","panga","pin_shells",NA
"11589","b","popo_mayai","bat_reproduction",NA
"11589","b","pelele_panda","hyraxes_climb_trees",NA
"11589","b","mikandaa","mangroves",NA
"11589","b","kambare","catfishes",NA
"11589","a","koho","vultures",NA
"11589",NA,"kutambaa","vine","BOTH"
"11589","a","kijimbi","kingfishers",NA
"11589","a","ngisi","squid",NA
"11589","b","papa","sharks_offspring",NA
"11589","b","ukukwi","green_spotted_snake",NA
"11589","a","mwani","seaweed",NA
"11589","b","kasa_kutaga","turtles_return",NA
"11589","nk","koa","snails",NA
"11589","b","ngawa","civets",NA
"11589","a","komba_lala","bushbabies_sleep",NA
"11589","b","mkuu","mkuu_wa_usiku_tree",NA
"11589","b","koogwe","vervet_monkey",NA
"11589","a","vijinu","cone_shells",NA
"11589","b","komba_ndizi","bushbabies_bananas",NA
"11589",NA,"popo_masikio","bats_ears","BOTH"
"11589","a","popo_uchafu","bats_excrements",NA
"11589","nk","chewa","groupers",NA
"11589","a","ndizi","banana_cooking",NA
"11589","nk","taa","rays",NA
"11589","nk","nyangumi","whales",NA
"11589","nk","mgulele","mgulele_tree",NA
"11589","b","kubanja","crack_open",NA
"11589","b","pelele_vidole","hyraxes_fingers",NA
"11589","nk","ulaya","ulaya_tree",NA
"11589","nk","chepu","fly_larvae",NA
"11589","a","kamba","shrimps",NA
"11589","b","dau","boat_building_wood",NA
"11589","b","mjusi","geckos",NA
"11589","b","nduaro","tunas",NA
"11589","a","viazi","sweet_potatoes",NA
"11589",NA,"pweza","octopus","Njohe"
