"anonyme_id","name_given","picture_id"
"11115","NYOKA","1_a_animal"
"11115","KOJOKOJO","1_b_insect"
"11115",NA,"1_c_plant"
"11115","TUMBILI","2_a_animal"
"11115","MNAZI","2_b_palm"
"11115","MPERA","2_c_plant"
"11115","KWEMBE","3_a_bird"
"11115","MKANDAA","3_b_plant_bra"
"11115",NA,"3_c_plant_leav"
"11115",NA,"4_a_root"
"11115","KIBULU","5_a_bird"
"11115","MCHOKICHOKI","5_b_tree"
"11115","TATARA","6_a_bird"
"11115","MCHOKICHOKI","6_b_tree"
"11115","KIPANGA; KOBE LA MINAZI","7_a_bird"
"11115",NA,"8_a_bird"
"11115",NA,"8_b_tree"
"11115","MVINJE","9_a_tree"
"11115","KOHO","10_a_bird"
"11115","KUNGURU","11_a_bird"
"11115","MVINJE","11_b_tree"
"11115","KASA","12_a_animal"
"11115",NA,"12_b_plant"
"11115","KOONGO","13_a_bird"
"11115","MKOROSHO","13_b_tree"
"11115",NA,"13_c_tree"
"11115",NA,"13_d_plant"
"11115",NA,"13_e_plant"
"11115","STAFELI","14_a_fruit_green"
"11115","PARACHICHI","14_b_fruit_yel"
"11115",NA,"14_c_fruit_red"
"11115","POPO","15_a_animal"
"11115",NA,"15_b_tree"
"11115","KINYONGA","16_a_animal"
"11115","KITUGUU","17_a_fruit"
"11115","MWEMBE","18_a_tree"
"11115",NA,"18_b_bird"
"11115","MAKOHO","19_a_bird_ko"
"11115",NA,"19_b_bird_fu"
"11115","MNAZI","20_a_palm"
"11115","VISIKI","20_b_plant_mu"
"11115",NA,"20_c_tree"
"11115",NA,"20_d_tree"
"11115",NA,"20_e_plant"
"11115","MBWA","20_f_bird"
"11115",NA,"20_g_bird"
"11115","MIGOMBA","21_a_palm"
"11115",NA,"21_b_plant_wat"
"11115",NA,"21_c_plant"
"11115","MIBALE","22_a_palm_pa"
"11115",NA,"22_b_plant"
"11115",NA,"22_c_palm_m"
"11115","KICHAMVI","23_a_insect"
"11115",NA,"23_b_plant"
"11115","BOCHO TOTOVU","24_a_fish_big"
"11115",NA,"24_b_fish_black"
"11115",NA,"24_c_fish_red"
"11115",NA,"24_d_fish_blu"
"11115",NA,"24_e_coral"
"11115","NYUO","25_a_fish_lion"
"11115",NA,"25_b_fish_black"
"11115",NA,"25_c_fish_red"
"11115",NA,"25_d_fish_grey"
"11115","MACHEME","25_e_coral"
"11115","BOCHO","26_a_fish"
"11115",NA,"26_b_shell"
"11115",NA,"26_c_coral"
"11115",NA,"27_a_cucumber"
"11115",NA,"27_b_fish_yel"
"11115",NA,"27_c_fish_black"
"11115",NA,"27_d_fish_blu"
"11115",NA,"27_e_coral"
"112462","NYOKA","1_a_animal"
"112462",NA,"1_b_insect"
"112462","MIKANDAA","1_c_plant"
"112462","TUMBILI","2_a_animal"
"112462","MCHIKICHI","2_b_palm"
"112462",NA,"2_c_plant"
"112462","KWEMBE","3_a_bird"
"112462","MGOGO","3_b_plant_bra"
