"anonyme_id","household_help","money_making","seashells","bird_hunting","hunt_with_dogs","field_help","cow_help","fishing","diving"
"11115","V","KA","V","V",NA,NA,"V",NA,NA
"112462","V","KA, MW",NA,"V","V","V","V","V","V"
"112713","V","KA","V",NA,NA,"V",NA,NA,NA
"11589","V","KA, MW","V",NA,NA,"V","V",NA,"V"
"11879","V","KA, MW","V",NA,NA,"V","V",NA,NA
"12165","V","KA","V","V",NA,NA,"V",NA,"V"
"12168","V","KA, MW","V",NA,NA,NA,NA,NA,"V"
"12185","V","KA","V",NA,NA,NA,NA,NA,NA
"122557","V","MW","V","V",NA,NA,"V",NA,NA
"12753","V","KA, MW","V",NA,NA,NA,"V",NA,NA
"12761",NA,"KA, MW","V","V","V","V","V","V","V"
"13212","V","KA","V","V","V",NA,"V",NA,NA
"132689","V","KA; MW","V",NA,NA,NA,NA,NA,NA
"132853","V","KA, MW","V","V","V",NA,"V",NA,"V"
"132854","V","KA, MW","V","V","V","V","V",NA,NA
"133433","V","KA, MW","V","V","V",NA,"V","V",NA
"133453","V","KA; MW","V",NA,NA,NA,NA,NA,"V"
"135723","V","KA, MW","V","V","V","V","V","V","V"
"137323","V","KA; MW","V","V","V","V","V","V","V"
"13744","V",NA,"V",NA,NA,NA,"V",NA,NA
"138251","V","KA",NA,"V","V",NA,NA,NA,NA
"138451","V",NA,NA,NA,NA,NA,NA,NA,NA
"138891","V","KA, MW","V","V","V","V","V","V","V"
"1399","V","KA; MW","V","V","V","V","V","V","V"
"14109","V","KA, MW","V","V","V","V","V","V","V"
"147436","V",NA,NA,NA,NA,NA,NA,NA,NA
"14764","V","KA, MW","V","V",NA,"V","V",NA,"V"
"147833","V","KA, MW","V",NA,NA,"V",NA,NA,"V"
"152122","V","KA",NA,"V","V","V","V",NA,NA
"153562",NA,"KA, MW","V",NA,NA,"V","V",NA,NA
"154176","V",NA,"V","V",NA,"V","V","V",NA
"15888","V",NA,NA,NA,NA,NA,NA,NA,NA
"17547","V","KA, MW","V","V","V","V","V","V",NA
"18232","V","KA","V","V","V",NA,"V",NA,"V"
"184723","V","KA","V","V",NA,NA,"V",NA,"V"
"185445",NA,"KA","V",NA,NA,NA,NA,NA,NA
"185824","V",NA,"V",NA,NA,NA,"V",NA,NA
"186802","V","MW, KA","V",NA,NA,"V","V",NA,"V"
"18749",NA,NA,"V","V",NA,NA,"V",NA,NA
"18758","V","MW","V","V","V","V","V",NA,"V"
"188722","V","KA, MW","V","V",NA,NA,NA,NA,NA
"18959","V","KA, MW","V",NA,NA,NA,NA,NA,NA
"191985","V","KA, MW","V","V","V","V","V","V","V"
"192109","V","KA, MW","V","V","V",NA,"V","V","V"
"192431","V","KA, MW","V",NA,NA,NA,NA,NA,NA
"192662",NA,"MW","V","V",NA,NA,"V",NA,"V"
"192966","V",NA,"V","V","V","V","V","V",NA
"193223","V","KA; MW","V","V","V","V","V",NA,"V"
"193755","V","MW","V",NA,NA,NA,NA,NA,NA
"194104","V","KA, MW","V","V","V","V","V",NA,"V"
"194388","V","KA",NA,NA,"V",NA,NA,NA,NA
"1949","V","KA, MW","V","V","V","V","V","V","V"
"195424","V","KA, MW","V",NA,NA,"V",NA,NA,NA
"195721","V","KA, MW","V","V","V","V","V","V","V"
"195755","V","KA, MW","V",NA,NA,"V",NA,NA,"V"
"195799","V","KA, MW","V","V","V","V","V","V","V"
"195821","V","KA, MW","V",NA,NA,"V",NA,NA,NA
"19586",NA,"MW","V","V","V","V","V","V",NA
"197299","V","KA, MW","V","V","V","V","V","V","V"
"198846","V","KA","V","V",NA,NA,"V",NA,NA
"199450","V","KA, MW","V","V","V","V","V","V","V"
"199586","V","KA","V","V","V","V","V","V","V"
"201358","V","KA, MW","V",NA,"V","V","V","V","V"
"233890","V","KA, MW","V",NA,NA,NA,"V",NA,"V"
"251533","V","KA, MW","V",NA,NA,NA,"V",NA,"V"
"252539","V","KA","V","V","V",NA,"V",NA,"V"
"252552","V","KA, MW","V","V","V","V","V",NA,"V"
"252611","V","KA","V","V",NA,NA,"V",NA,NA
"253748","V","MW","V",NA,NA,NA,"V",NA,NA
"262057","V","KA, MW","V",NA,NA,"V","V",NA,"V"
"263632","V","KA, MW","V",NA,NA,"V","V",NA,"V"
"267566","V","KA","V","V","V",NA,NA,NA,NA
"29434","V","KA, MW","V","V","V","V","V","V","V"
"37559","V","KA, MW","V",NA,NA,NA,NA,NA,NA
"61153","V","KA","V",NA,NA,NA,NA,NA,NA
"61212","V","KA, MW","V",NA,NA,"V",NA,NA,NA
"61427","V","KA, MW","V","V","V","V","V","V","V"
"62866","V",NA,NA,NA,NA,NA,NA,NA,NA
"62988","V","KA","V",NA,NA,NA,NA,NA,NA
"63263","V","KA, MW","V",NA,NA,NA,NA,NA,"V"
"65243","V","KA, MW","V",NA,NA,NA,NA,NA,NA
"69990","V","KA, MW","V",NA,NA,NA,"V",NA,NA
"81763","V","KA","V","V",NA,"V","V","V","V"
"81873","V","KA, MW","V","V","V","V","V","V","V"
"82613","V","KA, MW","V","V","V","V","V","V","V"
"82623","V","KA, MW","V","V","V",NA,"V",NA,"V"
"83275","V","KA","V",NA,NA,NA,NA,NA,NA
"83476","V","KA, MW DUKANI","V","V","V","V","V","V","V"
"83881","V","KA, MW","V",NA,NA,"V",NA,NA,NA
"88846","V",NA,"V","V",NA,"V","V",NA,NA
"9108",NA,NA,"V","V",NA,NA,NA,NA,"V"
