"anonyme_id","hh_id","hh_dist","birth_order","mother_present","father_present"
"11115",151,446.795702825364,NA,0,1
"112462",2,70.4867344512007,5,1,0
"112713",4,24.0312913963062,5,1,1
"11589",4,24.0312913963062,2,1,1
"11879",2,70.4867344512007,4,1,0
"12165",152,404.640711363407,7,0,0
"12168",1,12.5910523493323,NA,0,0
"12185",152,404.640711363407,2,1,0
"122557",147,486.950021769683,NA,0,0
"12753",171,NA,7,1,1
"12761",162,207.138050742883,6,0,0
"13212",152,404.640711363407,5,0,0
"132588",151,446.795702825364,5,1,1
"132689",10,54.7133525008344,1,1,1
"132853",151,446.795702825364,NA,0,1
"132854",171,NA,2,1,1
"133433",102,385.4145265568,11,1,1
"133453",160,232.143420292616,6,1,0
"135723",8,187.096348541293,9,1,1
"136745",155,326.397498557086,4,0,0
"137323",151,446.795702825364,6,1,1
"13744",145,496.754282498898,7,1,1
"138251",10,54.7133525008344,2,1,1
"138451",2,70.4867344512007,3,1,0
"138891",3,45.4627803175842,4,1,1
"1399",102,385.4145265568,10,1,1
"14109",18,34.9866337307199,NA,0,0
"147436",102,385.4145265568,8,1,1
"14764",102,385.4145265568,NA,0,0
"147833",174,NA,NA,1,0
"152122",150,442.556982526091,7,1,1
"153562",160,232.143420292616,5,1,0
"154176",7,53.1606875543458,6,1,1
"15888",2,70.4867344512007,4,0,0
"17547",5,77.9549614357666,3,0,1
"18232",10,54.7133525008344,3,1,1
"184723",142,530.189786864587,1,1,0
"185445",102,385.4145265568,12,1,1
"185824",4,24.0312913963062,6,1,1
"186802",9,64.3261854029666,5,1,1
"18749",6,98.3445728838347,2,0,0
"18758",8,187.096348541293,6,1,1
"188722",4,24.0312913963062,4,1,1
"18959",150,442.556982526091,8,1,1
"191985",158,232.417272961281,8,1,1
"192109",148,483.767080853645,9,1,1
"192431",160,232.143420292616,4,1,0
"192662",138,570.137998236967,7,1,1
"192966",129,647.893685976229,2,1,1
"193223",3,45.4627803175842,6,1,1
"193755",171,NA,5,1,1
"194104",9,64.3261854029666,7,1,1
"194388",128,639.939979868267,NA,0,1
"1949",3,45.4627803175842,3,1,1
"195424",7,53.1606875543458,4,1,1
"195721",8,187.096348541293,7,1,1
"195755",7,53.1606875543458,5,1,1
"195799",174,NA,9,1,0
"195821",9,64.3261854029666,4,1,1
"19586",3,45.4627803175842,NA,0,0
"197299",113,516.052947452963,3,1,1
"198846",153,358.731647028627,1,1,1
"199450",171,NA,4,1,1
"199586",102,385.4145265568,9,1,1
"201358",3,45.4627803175842,2,1,1
"233890",2,70.4867344512007,1,0,0
"236324",2,70.4867344512007,7,1,0
"251533",159,222.990309294199,10,1,0
"252539",7,53.1606875543458,9,1,1
"252552",171,NA,6,1,1
"252611",171,NA,8,1,1
"253748",18,34.9866337307199,NA,0,0
"262057",7,53.1606875543458,7,1,1
"263632",161,204.205036869206,2,1,0
"267566",102,385.4145265568,1,1,0
"29434",171,NA,3,1,1
"37559",9,64.3261854029666,3,1,1
"61153",152,404.640711363407,1,1,0
"61212",3,45.4627803175842,5,1,1
"61427",8,187.096348541293,4,1,1
"62866",158,232.417272961281,9,1,1
"62988",201,683.218016999004,4,1,1
"63263",161,204.205036869206,1,1,0
"65243",103,440.718640193043,6,1,1
"69990",205,687.468633666843,3,1,1
"81763",159,222.990309294199,7,1,0
"81873",159,222.990309294199,8,1,0
"82613",154,344.994844659565,2,1,1
"82623",154,344.994844659565,1,1,1
"83275",152,404.640711363407,6,0,0
"83476",8,187.096348541293,3,1,1
"83881",4,24.0312913963062,3,1,1
"88846",154,344.994844659565,3,1,1
"9108",7,53.1606875543458,8,1,1
