old,new
NA,NA
? SKIP,NA
[reviewer_comment: this cell is actually blank],NA
I ...,NA
ALI JUMA [reviewer_comment: could also be AU JUMA],ALI JUMA
ALIJUMA,ALI JUMA
ANPAZI,ANDAZI
BABE WATOTO,BABA WATOTO
BABAWATOTO,BABA WATOTO
BABEWA TOTO,BABA WATOTO
BAKARI KICHINA,BAKARI KICHWA
BAKARI KICHWA [reviewer_comment: could also be BAKARI KICHWIA],BAKARI KICHWA
BAKARI KILHWA,BAKARI KICHWA
BANGILI [reviewer_comment: could also be BANGIU],BANGILI
BARASA,BARAZA
BATA (2x),BATA
BATA (x),BATA
BATI (2x),BATI
BOIGA CAMUHOGO,BOGA LA MUHOGO
BODA BODA,BODABODA
BUI BUI,BUIBUI
BUIUBUIU,DUDU MBUYU
BUNGO KIZUNGU,MBUNGO WA KIZUNGU
BUNGU WA KIZUNGU,MBUNGO WA KIZUNGU
BUNGO WA KIZUNGO,MBUNGO WA KIZUNGU
BUSJATI,BUSATI
BUSSAT [reviewer_comment: could also be BUJIAN or BUJTAR],BUSATI
BUSSATI,BUSATI
BOLHO [reviewer_comment: could also be BOCHO],BOCHO
BOMBO [reviewer_comment: could also be POMBO or DOMBO],BOMBO
BULI BULI,BULIBULI
CHAKI WA MWEZI,CHAKIAMWEZI
CHAKEYA MWEZI [reviewer_comment: could also be CHAKEYA MMEZI],CHAKIAMWEZI
CHAKE YA MWEZI,CHAKIAMWEZI
CHAKE WA MWEZI,CHAKIAMWEZI
CHAKE WA MWESI,CHAKIAMWEZI
CHAKE MWEJI [reviewer_comment: could also be CHAKE MWESI],CHAKIAMWEZI
CHAGAMWEZI,CHAKIAMWEZI
CHAMO KIDOA,CHANGU KIDOA
CHAMUKIDOA,CHANGU KIDOA
CHANDARWA,CHANDARUA
CHAANJE,CHANJE
CHANGE,CHANJE
CHANJE (2x),CHANJE
CHANJE (KAWAIDA),CHANJE
CHANJWE,CHANJE
CHANJE ZIWA,CHANJE UZIWA
CHANJELIZIWA [reviewer_comment: could also be CHANJEUZIWA],CHANJE UZIWA
CHANGO,CHANGU
CHANNGU,CHANGU
CHANJE MSUELE,CHANJE SUELE
BAITRY,BETTRY
