"anonyme_id","response","swahili","english","notes"
"112713","b","popo_mayai","bat_reproduction",NA
"112713","b","pelele_panda","hyraxes_climb_trees","MIK. B"
"112713","b","kambare","catfishes",NA
"112713","a","koho","vultures","KUTAMBAA B"
"112713","b","kijimbi","kingfishers","NGISI A"
"112713",NA,"papa","sharks_offspring","MOJATU"
"112713","a","ukukwi","green_spotted_snake",NA
"112713","a","mwani","seaweed",NA
"112713","b","kasa_kutaga","turtles_return",NA
"112713",NA,"koa","snails","NONE"
"112713","a","ngawa","civets",NA
"112713","a","komba_lala","bushbabies_sleep",NA
"112713","b","mkuu","mkuu_wa_usiku_tree",NA
"112713","nk","koogwe","vervet_monkey","VIJINU B"
"112713","b","komba_ndizi","bushbabies_bananas",NA
"112713",NA,"popo_masikio","bats_ears","NONE"
"112713","nk","popo_uchafu","bats_excrements",NA
"112713","nk","chewa","groupers",NA
"112713",NA,"ndizi","banana_cooking","BOTH"
"112713","b","taa","rays",NA
"112713","nk","nyangumi","whales",NA
"112713",NA,"mgulele","mgulele_tree","Doesnt give fruit"
"112713","b","kubanja","crack_open",NA
"112713","b","pelele_vidole","hyraxes_fingers",NA
"112713","b","ulaya","ulaya_tree",NA
"112713","nk","chepu","fly_larvae","JITI TU"
"112713","nk","dau","boat_building_wood","KAMBA (A)"
"112713","nk","mjusi","geckos",NA
"112713","a","nduaro","tunas",NA
"112713",NA,"viazi","sweet_potatoes","MAYBE 3 Mo after they're big"
"112713",NA,"pweza","octopus","NJORO"
"112713","nk","kichachuli","young_monkey",NA
"112713","nk","kasa","turtles_travel",NA
"112713","nk","papa","sharks_dangerous","UFUKWENI Dont know"
"112713","nk","mbiliwili","swifts",NA
"112713","nk","salile","ducks",NA
"112713",NA,"matunda","fruit","MBIRMBI TU"
"112713","a","pomboo","dolphins",NA
"112713","nk","minazi","coconut","D"
"112713","b","chamvi","caterpillar",NA
"112713","a","chale","lionfishes",NA
"112713","b","bocho","frogfishes",NA
"112713","nk","mjafari","mjafari_plant",NA
"112713","nk","panga","pin_shells",NA
"11879","b","popo_mayai","bat_reproduction",NA
"11879","b","pelele_panda","hyraxes_climb_trees",NA
"11879","b","kambare","catfishes","MIKANDAA B"
"11879","a","koho","vultures","KUTAMBAA B"
"11879","a","kijimbi","kingfishers","NGISI A"
"11879","a","papa","sharks_offspring",NA
"11879","a","ukukwi","green_spotted_snake",NA
"11879","a","mwani","seaweed",NA
"11879","nk","kasa_kutaga","turtles_return",NA
"11879","b","koa","snails",NA
"11879","b","ngawa","civets",NA
"11879","b","komba_lala","bushbabies_sleep",NA
"11879","b","mkuu","mkuu_wa_usiku_tree",NA
"11879","nk","koogwe","vervet_monkey","VIJINU A"
"11879","b","komba_ndizi","bushbabies_bananas",NA
"11879","a","popo_masikio","bats_ears",NA
"11879","a","popo_uchafu","bats_excrements",NA
"11879","nk","chewa","groupers",NA
"11879","a","ndizi","banana_cooking",NA
"11879","b","taa","rays",NA
"11879","a","nyangumi","whales",NA
"11879","a","mgulele","mgulele_tree",NA
"11879","a","kubanja","crack_open",NA
"11879","nk","pelele_vidole","hyraxes_fingers",NA
"11879","b","ulaya","ulaya_tree",NA
"11879","a","chepu","fly_larvae","KAMBA A"
"11879","b","dau","boat_building_wood",NA
"11879",NA,"mjusi","geckos","NONE"
"11879","b","nduaro","tunas",NA
"11879","b","viazi","sweet_potatoes",NA
"11879",NA,"pweza","octopus","GONGO"
"11879","b","kichachuli","young_monkey",NA
"11879","a","kasa","turtles_travel",NA
"11879","b","papa","sharks_dangerous","UFUKWENI B"
"11879","a","mbiliwili","swifts",NA
"11879","nk","salile","ducks",NA
"11879","b","matunda","fruit",NA
"11879","a","pomboo","dolphins",NA
"11879","b","minazi","coconut",NA
"11879","b","chamvi","caterpillar",NA
"11879","a","chale","lionfishes",NA
"11879","b","bocho","frogfishes",NA
"11879","a","mjafari","mjafari_plant",NA
"11879","a","panga","pin_shells",NA
"12168","b","popo_mayai","bat_reproduction",NA
"12168","b","pelele_panda","hyraxes_climb_trees","MIKANDAA B"
"12168",NA,"kambare","catfishes","BOTH"
"12168","nk","koho","vultures","KUTAMBAA NONE"
"12168",NA,"kijimbi","kingfishers","PEOPLE"
"12168","nk","papa","sharks_offspring","NGISI A"
"12168","a","ukukwi","green_spotted_snake",NA
"12168","b","mwani","seaweed",NA
"12168","nk","kasa_kutaga","turtles_return",NA
"12168","b","koa","snails",NA
"12168","nk","ngawa","civets",NA
"12168","b","komba_lala","bushbabies_sleep",NA
"12168","nk","mkuu","mkuu_wa_usiku_tree",NA
"12168","a","koogwe","vervet_monkey","VIJINV DONTKWN"
"12168","b","komba_ndizi","bushbabies_bananas",NA
"12168","b","popo_masikio","bats_ears",NA
"12168","a","popo_uchafu","bats_excrements",NA
"12168","b","chewa","groupers",NA
"12168","b","ndizi","banana_cooking",NA
"12168","b","taa","rays",NA
"12168","a","nyangumi","whales",NA
"12168","nk","mgulele","mgulele_tree",NA
"12168","a","kubanja","crack_open",NA
"12168","nk","pelele_vidole","hyraxes_fingers",NA
"12168","a","ulaya","ulaya_tree",NA
"12168","b","chepu","fly_larvae","KAMSA A"
"12168","a","dau","boat_building_wood",NA
"12168","b","mjusi","geckos",NA
"12168","b","nduaro","tunas",NA
"12168","b","viazi","sweet_potatoes",NA
"12168","a","pweza","octopus",NA
"12168","b","kichachuli","young_monkey",NA
"12168","b","kasa","turtles_travel",NA
"12168","b","papa","sharks_dangerous","UFUKWENI B"
"12168","a","mbiliwili","swifts",NA
"12168","a","salile","ducks",NA
"12168","a","matunda","fruit",NA
"12168","a","pomboo","dolphins",NA
"12168","nk","minazi","coconut",NA
"12168","b","chamvi","caterpillar",NA
"12168","a","chale","lionfishes",NA
"12168","b","bocho","frogfishes",NA
"12168","b","mjafari","mjafari_plant",NA
"12168","b","panga","pin_shells",NA
"132689","a","popo_mayai","bat_reproduction",NA
"132689","b","pelele_panda","hyraxes_climb_trees","MIKANDAA A"
"132689","b","kambare","catfishes",NA
"132689","b","koho","vultures","KUTAMBAA BOTH"
"132689","b","kijimbi","kingfishers","NGISI A"
"132689","b","papa","sharks_offspring",NA
"132689","a","ukukwi","green_spotted_snake",NA
"132689","a","mwani","seaweed",NA
"132689","b","kasa_kutaga","turtles_return",NA
"132689","a","koa","snails",NA
"132689","a","ngawa","civets",NA
"132689","b","komba_lala","bushbabies_sleep",NA
"132689","b","mkuu","mkuu_wa_usiku_tree",NA
"132689","a","koogwe","vervet_monkey","VIJINU A"
"132689","b","komba_ndizi","bushbabies_bananas",NA
"132689",NA,"popo_masikio","bats_ears","BOTH"
"132689","a","popo_uchafu","bats_excrements",NA
"132689","a","chewa","groupers",NA
"132689",NA,"ndizi","banana_cooking","BOTH"
"132689","b","taa","rays",NA
"132689","b","nyangumi","whales",NA
"132689",NA,"mgulele","mgulele_tree","NONE"
"132689","b","kubanja","crack_open",NA
"132689","b","pelele_vidole","hyraxes_fingers",NA
"132689","a","ulaya","ulaya_tree",NA
"132689","nk","chepu","fly_larvae","KAMBA B"
"132689","a","dau","boat_building_wood",NA
"132689",NA,"mjusi","geckos","NONE"
"132689","a","nduaro","tunas",NA
"132689","a","viazi","sweet_potatoes",NA
"132689",NA,"pweza","octopus","NJORO"
"132689","a","kichachuli","young_monkey",NA
"132689","b","kasa","turtles_travel","VFUKWENI B"
"132689",NA,"papa","sharks_dangerous","BOTH"
"132689","a","mbiliwili","swifts",NA
"132689","b","salile","ducks",NA
"132689","nk","matunda","fruit",NA
"132689","a","pomboo","dolphins",NA
"132689","a","minazi","coconut",NA
"132689","b","chamvi","caterpillar",NA
"132689","nk","chale","lionfishes",NA
"132689","b","bocho","frogfishes",NA
"132689","nk","mjafari","mjafari_plant",NA
"132689","nk","panga","pin_shells",NA
"135723","a","popo_mayai","bat_reproduction",NA
"135723","b","pelele_panda","hyraxes_climb_trees","MIKANDAA NONE"
"135723","b","kambare","catfishes",NA
"135723","a","koho","vultures","KUTAMBAA B"
