"","response","n","not_a_creature","type"
"1","ALADI",1,1,NA
"2","ALI",1,1,NA
"3","ALI JUMA",19,0,"S"
"4","ANDAZI",2,1,NA
"5","APPLE",1,0,"M"
"6","ARAYA",1,1,NA
"7","ARIVI",1,1,NA
"8","ASALI",3,1,NA
"9","ASANA",1,1,NA
"10","BABA WATOTO",6,0,"N"
"11","BAHARI",9,1,NA
"12","BAISIKELI",5,1,NA
"13","BAKARI KICHWA",7,0,"S"
"14","BAKORA",1,1,NA
"15","BAKULI",9,1,NA
"16","BALBU",1,1,NA
"17","BANDARI",1,1,NA
"18","BANGILI",2,1,NA
"19","BAO",16,1,NA
"20","BARABARA",1,1,NA
"21","BARAZA",3,1,NA
"22","BATA",73,0,"N"
"23","BATA KANARI",4,0,"N"
"24","BATA MZINGA",12,0,"N"
"25","BATI",13,1,NA
"26","BEBERU",1,0,"W"
"27","BEDUI",1,0,"N"
"28","BEGI",14,1,NA
"29","BEGU",2,0,"M"
"30","BESENI",2,1,NA
"31","BETTRY",6,1,NA
"32","BINTAMO",1,1,NA
"33","BISCUTI",3,1,NA
"34","BIZARI",3,0,"M"
"35","BO",1,1,NA
"36","BOCHO",15,0,"S"
"37","BODABODA",4,1,NA
"38","BOHORA",7,1,NA
"39","BOKSI",7,1,NA
"40","BOMBO",47,0,"S"
"41","BOMBO MTOJU",1,0,"S"
"42","BOMBO RESI",5,0,"S"
"43","BOMBO SHIMO",3,0,"S"
"44","BOTI",9,1,NA
"45","BUIBUI",3,0,"D"
"46","BUKINI",2,0,"N"
"47","BUKOBA",2,0,"M"
"48","BUKTA",2,1,NA
"49","BUKU",10,0,"W"
"50","BULIBULI",20,0,"S"
"51","BUMBULA",4,0,"S"
"52","BUNDI",3,0,"N"
"53","BUNJU",9,0,"S"
"54","BUNJU CHUI",1,0,"S"
"55","BUNJU MIBA",4,0,"S"
"56","BUNJU MPIA",1,0,"S"
"57","BUNJU TOTOVU",1,0,"S"
"58","BUSATI",7,1,NA
"59","BUSTANI",4,0,"M"
"60","BUUNZI",1,0,"D"
"61","CAMERA",1,1,NA
"62","CHAA",58,0,"S"
"63","CHAI",1,1,NA
"64","CHAJATI",1,1,NA
"65","CHAKIAMWEZI",9,0,"N"
"66","CHAKIVALE",1,0,"N"
"67","CHAKUGONGA",1,1,NA
"68","CHAKULA",5,1,NA
"69","CHALE",2,0,"S"
"70","CHAMVI",5,0,"D"
"71","CHANDARUA",8,1,NA
"72","CHANGA",3,1,NA
"73","CHANGARAWE",4,1,NA
"74","CHANGU",33,0,"S"
"75","CHANGU KIDOA",3,0,"S"
"76","CHANGU NOOMO",1,0,"S"
"77","CHANJE",81,0,"N"
"78","CHANJE MOTO",1,0,"N"
"79","CHANJE SUELE",2,0,"N"
"80","CHANJE UZIWA",6,0,"N"
"81","CHATU",36,0,"W"
"82","CHAURO",1,1,NA
"83","CHAZA",42,0,"D"
"84","CHECHE",3,0,"W"
"85","CHECHELE",20,0,"N"
"86","CHEKERIRO",1,0,"N"
"87","CHELEMA",1,0,"S"
"88","CHEMBE",1,0,"S"
"89","CHEMSOO",1,1,NA
"90","CHEPU",2,0,"D"
"91","CHEREWANDA",11,0,"N"
"92","CHESI",24,0,"W"
"93","CHEWA",22,0,"S"
"94","CHIMBA KWA KIJINI",1,1,NA
"95","CHIMBACHI (MDUDU)",1,0,"W"
"96","CHIMU",1,1,NA
"97","CHOE",2,0,"S"
"98","CHOKOPWE",2,1,NA
"99","CHONGOE",6,0,"S"
"100","CHONJWE",9,0,"N"
"101","CHORE",17,0,"N"
"102","CHOTARA",3,1,NA
"103","CHOWE",4,0,"S"
"104","CHOZI",52,0,"N"
"105","CHUI",75,0,"S"
"106","CHUJIO",2,1,NA
"107","CHUKA",2,0,"S"
"108","CHUMA MBUZI",1,0,"D"
"109","CHUMBWAGA",1,0,"S"
"110","CHUMVI",1,1,NA
"111","CHUNGUCHUNGU",2,0,"D"
"112","CHUNGUVUNDU",1,1,NA
"113","CHUPA",18,1,NA
"114","CHURA",16,0,"D"
"115","DAGAA",35,0,"S"
"116","DAGAA KIWEMBE",1,0,"S"
"117","DAGAA MDUNJI",1,0,"S"
"118","DAGAA MSUMARI",25,0,"S"
"119","DAGAA SARADINI",1,0,"S"
"120","DAKIKA",2,1,NA
"121","DAKTARI WA NGOMBE",3,0,"N"
"122","DARAJA BOVU",1,1,NA
"123","DARASA LA KWANZA",1,1,NA
"124","DAU",15,1,NA
"125","DAWA",5,1,NA
"126","DEKI",2,1,NA
"127","DEKSI",2,1,NA
"128","DIKTI",1,1,NA
"129","DIRISHA",1,1,NA
"130","DISHI",10,1,NA
"131","DISHI LA UMEME",1,1,NA
"132","DOKAA",10,0,"D"
"133","DRAGONI",1,1,"W"
"134","DUDU FUSO",2,0,"D"
"135","DUDU MBUYU",6,0,"D"
"136","DUDU VUNDO",3,0,"D"
